100.00%,2.8920,1.02
         1724893 function calls (1534447 primitive calls) in 1.454 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      648    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
       33    0.000    0.000    0.001    0.000 typing.py:1390(copy_with)
       98    0.000    0.000    0.001    0.000 enum.py:1562(__and__)
      713    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
     2261    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       60    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
     2415    0.001    0.000    0.001    0.000 {method 'isalpha' of 'str' objects}
       25    0.000    0.000    0.001    0.000 copy.py:61(copy)
      500    0.001    0.000    0.001    0.000 guesser.py:33(insert)
     2292    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      648    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:436(PercentStyle)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
       20    0.000    0.000    0.001    0.000 typing.py:1519(__getitem__)
     1000    0.000    0.000    0.001    0.000 scanner.py:731(check_plain)
